player_id,card_minutes,yellow_cards,red_cards,behavior_cards,foul_cards,right_wing,right_center_forward,right_midfield,right_center_midfield,right_wing_back,right_back,center_defensive_midfield,right_defensive_midfield,right_center_back,left_back,left_center_back,center_back,left_center_midfield,left_defensive_midfield,center_forward,center_attacking_midfield,left_wing,left_wing_back,left_midfield,left_center_forward,goalkeeper,left_attacking_midfield,right_attacking_midfield,center_midfield,secondary_striker
6735,[],0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,4,1,2,0,2,3,0,0,0,0,0
11094,"[71, 42, 42, 30, 78, 13, 33]",7,0,0,7,4,1,5,11,1,0,1,0,0,1,0,0,15,0,0,0,10,1,7,0,0,0,0,0,0
12021,[18],1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
12626,[90],1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20669,"[69, 37, 67, 60, 65]",5,0,0,5,1,0,0,3,0,0,3,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
4653,[],0,0,0,0,8,1,0,1,0,0,1,1,0,0,0,0,1,0,33,3,2,0,1,4,0,0,0,0,1
5013,[94],1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,1,0,0,0
6817,"[46, 78]",2,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,1,13,0,12,0,2,2,0,2,0,0,0
10654,"[66, 75]",2,0,0,2,1,0,0,13,0,0,2,6,0,0,0,0,1,10,1,17,0,0,0,0,0,0,0,0,0
15562,"[75, 45, 28, 83]",4,0,0,4,4,1,1,6,0,0,1,4,0,0,0,0,7,6,0,16,5,1,0,0,0,0,0,0,0
19501,"[66, 59, 33, 64, 11, 85, 98, 70, 45, 30, 28, 55]",11,0,0,12,0,0,1,12,0,2,3,14,0,0,0,0,11,15,0,1,0,0,0,0,0,0,0,0,0
31531,"[89, 37, 81, 90, 85]",4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,1,0,0,0,0,0
31532,[],0,0,0,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,9,1,2,0,0,0,0,0,0
31533,"[62, 65, 61, 88, 69, 14]",6,0,2,4,1,0,0,0,0,12,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31534,"[94, 67, 94, 87]",3,1,2,2,8,1,1,3,0,0,3,3,0,0,0,0,5,1,1,18,2,0,0,0,0,0,0,0,0
31535,"[34, 93, 94, 74]",4,0,1,3,18,2,1,1,1,0,0,1,0,0,0,0,1,0,9,1,2,0,1,0,0,0,0,0,0
31536,"[82, 19]",2,0,0,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31538,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
31539,[],0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,30,1,2,0,0,0,0,0,0
31540,"[57, 79, 88, 86, 18, 85, 89]",7,0,2,5,1,0,0,5,0,0,6,7,0,0,0,0,12,7,0,2,0,0,0,0,0,0,0,0,0
46639,[66],1,0,0,1,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46641,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50460,[76],1,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5066,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
10235,"[91, 1]",2,0,0,2,0,0,0,1,0,2,0,2,6,4,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10237,[91],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
10380,"[82, 33, 24]",3,0,0,3,1,0,0,1,0,19,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10405,"[76, 88, 78, 89]",4,0,0,4,0,0,0,4,0,1,20,1,3,0,7,0,6,11,0,0,0,0,0,0,0,0,0,1,0
10650,"[45, 79, 81, 90, 73, 94]",6,0,0,6,1,2,0,6,0,0,3,1,0,0,0,0,21,1,2,4,4,0,1,1,0,0,1,0,0
10658,"[12, 94, 60, 56, 86, 52, 77]",7,0,1,6,16,0,2,20,2,0,3,2,0,0,0,0,19,1,0,3,14,2,1,1,0,0,0,0,0
11338,"[51, 30]",2,0,0,2,3,0,0,1,1,0,0,1,0,0,0,0,1,0,6,1,17,0,1,0,0,0,0,0,0
15616,[],0,0,0,0,0,0,0,13,0,0,9,6,0,0,0,0,13,1,1,9,0,0,1,0,0,1,0,0,0
15619,"[77, 52, 62, 74, 29, 47]",5,0,0,6,25,0,5,1,1,0,1,1,0,0,0,0,0,0,5,0,27,1,11,0,0,0,0,0,0
15620,"[74, 36, 84, 61, 75, 31, 86, 73]",8,0,1,7,7,0,5,1,0,1,1,1,0,43,2,0,3,0,2,1,6,2,3,1,0,0,0,0,0
15623,"[86, 75, 34, 39]",4,0,1,3,2,4,0,2,0,0,0,0,0,0,0,0,0,0,56,5,4,0,0,3,0,0,0,0,0
18999,"[50, 89, 56]",3,0,0,3,0,0,1,1,0,4,3,0,48,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
41812,[],0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,3,0,0,0,1,0,0,0,0,0,0,0,0
45155,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45156,[],0,0,0,0,1,0,0,5,0,0,5,1,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0
49697,"[51, 25]",2,0,0,2,0,0,0,0,0,3,0,0,5,0,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0
52148,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
